ABC19980120.1830.0957	e2	e7	BEFORE
ABC19980120.1830.0957	e7	e8	BEFORE
ABC19980120.1830.0957	e8	e10	BEFORE
ABC19980120.1830.0957	e14	e15	AFTER
ABC19980120.1830.0957	e15	e16	BEFORE
ABC19980120.1830.0957	e16	e21	AFTER
ABC19980120.1830.0957	e21	e24	VAGUE
ABC19980120.1830.0957	e24	e25	BEFORE
ABC19980120.1830.0957	e25	e31	OVERLAP
ABC19980120.1830.0957	e31	e35	AFTER
ABC19980120.1830.0957	e35	e39	AFTER
ABC19980120.1830.0957	e43	e48	OVERLAP
APW19980301.0720	e1	e6	BEFORE
APW19980301.0720	e6	e15	AFTER
APW19980301.0720	e15	e16	OVERLAP
APW19980301.0720	e16	e21	OVERLAP
APW19980301.0720	e21	e25	OVERLAP
APW19980301.0720	e25	e30	OVERLAP
APW19980301.0720	e30	e31	OVERLAP
APW19980301.0720	e31	e35	OVERLAP
APW19980301.0720	e35	e42	BEFORE-OR-OVERLAP
APW19980301.0720	e42	e43	BEFORE
APW19980301.0720	e43	e45	BEFORE
APW19980301.0720	e45	e50	BEFORE
APW19980301.0720	e50	e52	BEFORE
APW19980301.0720	e52	e54	BEFORE
APW19980301.0720	e54	e55	BEFORE
APW19980301.0720	e55	e57	OVERLAP
APW19980301.0720	e57	e64	OVERLAP
APW19980301.0720	e64	e73	OVERLAP
APW19980301.0720	e73	e75	OVERLAP
APW19980301.0720	e75	e77	BEFORE
CNN19980227.2130.0067	e6	e8	OVERLAP
CNN19980227.2130.0067	e9	e10	AFTER
CNN19980227.2130.0067	e10	e11	OVERLAP
CNN19980227.2130.0067	e13	e15	BEFORE
CNN19980227.2130.0067	e15	e19	OVERLAP
CNN19980227.2130.0067	e19	e22	BEFORE
CNN19980227.2130.0067	e22	e26	AFTER
CNN19980227.2130.0067	e26	e28	AFTER
CNN19980227.2130.0067	e28	e32	OVERLAP
CNN19980227.2130.0067	e32	e37	OVERLAP
CNN19980227.2130.0067	e42	e48	OVERLAP
CNN19980227.2130.0067	e48	e49	BEFORE
CNN19980227.2130.0067	e49	e51	BEFORE
CNN19980227.2130.0067	e51	e56	OVERLAP
CNN19980227.2130.0067	e56	e60	OVERLAP
CNN19980227.2130.0067	e60	e63	OVERLAP
NYT19980402.0453	e2	e8	OVERLAP
NYT19980402.0453	e8	e15	VAGUE
NYT19980402.0453	e15	e17	OVERLAP
NYT19980402.0453	e17	e22	OVERLAP
