wsj_0586	22	14	timex3	t0	1	type	DATE
wsj_0586	22	14	timex3	t0	1	value	1989-10-30
wsj_0505	5	3	timex3	t1	1	type	DATE
wsj_0505	5	3	timex3	t1	1	value	1989
wsj_0586	54	8	timex3	t151	1	type	DATE
wsj_0586	54	8	timex3	t151	1	value	1989-10-23
wsj_0586	6	10	timex3	t3	1	type	DATE
wsj_0586	6	10	timex3	t3	1	value	1989-10-30
wsj_0586	6	12	timex3	t152	1	type	DATE
wsj_0586	6	12	timex3	t152	1	value	1989-10-30
b0717	43	4	timex3	t5	1	type	DATE
b0717	43	4	timex3	t5	1	value	1992-01-02
a0417	28	13	timex3	t6	1	type	DATE
a0417	28	13	timex3	t6	1	value	1992
a0478	2	26	timex3	t7	1	type	DATE
a0478	2	26	timex3	t7	1	value	1992-01-02
b0717	42	2	timex3	t154	1	type	DURATION
b0717	42	2	timex3	t154	1	value	P4Y
wsj_0586	4	18	timex3	t10	1	type	DATE
wsj_0586	4	18	timex3	t10	1	value	1989-10-30
b0717	46	26	timex3	t155	1	type	DURATION
b0717	46	26	timex3	t155	1	value	PXW
wsj_0586	8	3	timex3	t12	1	type	DATE
wsj_0586	8	3	timex3	t12	1	value	1989-10-30
wsj_0586	0	6	timex3	t13	1	type	DATE
wsj_0586	0	6	timex3	t13	1	value	1989-10-30
wsj_0527	11	11	timex3	t157	1	type	DATE
wsj_0527	11	11	timex3	t157	1	value	1989
wsj_0586	44	5	timex3	t235	1	type	DATE
wsj_0586	44	5	timex3	t235	1	value	2014
APW19980306.1001	4	9	timex3	t16	1	type	DURATION
APW19980306.1001	4	9	timex3	t16	1	value	PXQ
WSJ900813-0157	53	14	timex3	t239	1	type	DATE
WSJ900813-0157	53	14	timex3	t239	1	value	1990-08
wsj_0586	26	11	timex3	t164	1	type	DATE
wsj_0586	26	11	timex3	t164	1	value	1989-10-30
b0717	8	4	timex3	t19	1	type	DURATION
b0717	8	4	timex3	t19	1	value	PXD
b0717	0	3	timex3	t20	1	type	DATE
b0717	0	3	timex3	t20	1	value	1992-01-02
wsj_0471	3	1	timex3	t165	1	type	DATE
wsj_0471	3	1	timex3	t165	1	value	1989-10-24
WSJ900813-0157	7	5	timex3	t23	1	type	DATE
WSJ900813-0157	7	5	timex3	t23	1	value	1990-08-13
b0717	19	25	timex3	t24	1	type	DATE
b0717	19	25	timex3	t24	1	value	1992-01-02
b0717	22	28	timex3	t25	1	type	DATE
b0717	22	28	timex3	t25	1	value	1992-01-02
b0717	39	10	timex3	t26	1	type	DATE
b0717	39	10	timex3	t26	1	value	1992-01-02
b0717	52	24	timex3	t169	1	type	DATE
b0717	52	24	timex3	t169	1	value	1991-07-21
a0413	8	23	timex3	t170	1	type	DATE
a0413	8	23	timex3	t170	1	value	1992
a0413	4	22	timex3	t29	1	type	DATE
a0413	4	22	timex3	t29	1	value	1992
b0717	3	33	timex3	t30	1	type	DATE
