wsj_0586	22	14	timex3	t0	1
wsj_0505	5	3	timex3	t1	1
wsj_0586	54	8	timex3	t151	1
wsj_0586	54	9	timex3	t151	1
wsj_0586	6	10	timex3	t3	1
wsj_0586	6	12	timex3	t152	1
wsj_0586	6	13	timex3	t152	1
b0717	43	4	timex3	t5	1
a0417	28	13	timex3	t6	1
a0478	2	26	timex3	t7	1
WSJ900813-0157	14	8	timex3	t8	1
b0717	42	2	timex3	t154	1
b0717	42	3	timex3	t154	1
wsj_0586	4	18	timex3	t10	1
b0717	46	26	timex3	t155	1
b0717	46	27	timex3	t155	1
wsj_0586	8	3	timex3	t12	1
wsj_0586	0	6	timex3	t13	1
wsj_0527	11	11	timex3	t157	1
wsj_0527	11	12	timex3	t157	1
wsj_0527	11	13	timex3	t157	1
wsj_0586	44	5	timex3	t235	1
wsj_0586	44	6	timex3	t235	1
wsj_0586	44	7	timex3	t235	1
wsj_0586	44	8	timex3	t235	1
APW19980306.1001	4	9	timex3	t16	1
WSJ900813-0157	53	14	timex3	t239	1
WSJ900813-0157	53	15	timex3	t239	1
WSJ900813-0157	53	16	timex3	t239	1
WSJ900813-0157	53	17	timex3	t239	1
WSJ900813-0157	53	18	timex3	t239	1
wsj_0586	26	11	timex3	t164	1
wsj_0586	26	12	timex3	t164	1
b0717	8	4	timex3	t19	1
b0717	0	3	timex3	t20	1
wsj_0527	0	23	timex3	t21	1
wsj_0471	3	1	timex3	t165	1
wsj_0471	3	2	timex3	t165	1
WSJ900813-0157	7	5	timex3	t23	1
b0717	19	25	timex3	t24	1
b0717	22	28	timex3	t25	1
b0717	39	10	timex3	t26	1
b0717	52	24	timex3	t169	1
b0717	52	25	timex3	t169	1
a0413	8	23	timex3	t170	1
a0413	8	24	timex3	t170	1
a0413	4	22	timex3	t29	1
b0717	3	33	timex3	t30	1
WSJ900813-0157	31	19	timex3	t215	1
WSJ900813-0157	31	20	timex3	t215	1
b0717	5	1	timex3	t32	1
b0717	15	3	timex3	t33	1
wsj_0586	19	14	timex3	t158	1
wsj_0586	19	15	timex3	t158	1
b0717	69	6	timex3	t174	1
b0717	69	7	timex3	t174	1
b0717	69	8	timex3	t174	1
wsj_0586	7	25	timex3	t36	1
b0717	40	12	timex3	t37	1
b0717	4	44	timex3	t177	1
b0717	4	45	timex3	t177	1
b0717	4	46	timex3	t177	1
b0717	4	47	timex3	t39	1
wsj_0586	28	5	timex3	t40	1
b0717	56	5	timex3	t41	1
b0717	56	2	timex3	t178	1
b0717	56	3	timex3	t178	1
b0717	68	8	timex3	t179	1
b0717	68	9	timex3	t179	1
